id	name	address
148	Sorel & Tracy, QC	280, boul. Fiset, Sorel-Tracy, QC, J3P 5X7
153	St. Jean-sur-Richelieu, QC	855, boul. du Seminaire Nord, Saint-Jean-sur-Richelieu, QC, J3A 1J2
151	St. Hyacinthe, QC	5930, rue Martineau, Saint-Hyacinthe, QC, J2R 2H6
625	Casselman, ON	95 Lafleche Blvd., Casselman, ON, K0A 1M0
26	Cornwall, ON	201 Ninth Street East, Cornwall, ON, K6H 2V1
138	Granby, QC	70, rue Simonds Nord, Granby, QC, J2J 2L1
623	Rockland, ON	9040 County Road 17, Rockland, ON, K4K 1V5
15	Buckingham, QC	170, avenue Lepine, Gatineau, QC, J8L 4M4
158	Drummondville, QC	715, boul. St-Joseph, Drummondville, QC, J2C 7V2
274	Cowansville, QC	145, rue de Salaberry, Cowansville, QC, J2K 5G9
686	Nicolet, QC	2000, boul. Louis-Frechette, Nicolet, QC, J3T 1M9
422	Ottawa Orleans, ON	3910 Innes Road, Orleans, ON, K1W 1K9
308	Trois-Rivieres, QC	3525, boul. des Forges, Trois-Rivieres, QC, G8Y 4P2
131	Shawinigan, QC	1555, rue Trudel, Shawinigan, QC, G9N 8K8
109	Cap-de-la-Madeleine, QC	350, rue Barkoff, Trois-Rivieres, QC, G8T 9P5
297	Ottawa Gloucester, ON	2010 Ogilvie Road, Gloucester, ON, K1J 8X3
659	Leitrim, ON	4776 Bank Street, Gloucester, ON, K1T 0K8
174	Ottawa East, ON	330 Coventry Road, Ottawa, ON, K1K 4S3
191	Gatineau, QC	700, boul Maloney Ouest, Gatineau, QC, J8T 8K7
120	Morrisburg, ON	12329 County Road 2, Morrisburg, ON, K0C 1X0
210	Ottawa South, ON	1170 Heron Road, Ottawa, ON, K1V 6B2
176	Hull, QC	355, boul. de la Carriere, Gatineau, QC, J8Y 6W4
648	Mont-Laurier, QC	1675, boul. Albiny-Paquette, Mont-Laurier, QC, J9L 1M8
258	Ottawa Merivale, ON	1820 Merivale Road, Nepean, ON, K2G 1E6
318	Gatineau Le Plateau, QC	213, boul. des Grives, Gatineau, QC, J9A 0C7
290	Ottawa Carling Ave, ON	2165 Carling Avenue, Ottawa, ON, K2A 1H2
442	Barrhaven, ON	2501 Greenbank Road, Nepean, ON, K2J 4Y6
272	Ottawa Bells Cnrs, ON	2135 Robertson Road, Nepean, ON, K2H 5Z2
227	Kemptville, ON	311 Ryans Well Drive, Kemptville, ON, K0G 1J0
240	Magog, QC	2135, rue Sherbrooke, Magog, QC, J1X 2T5
457	Kanata, ON	8181 Campeau Drive, Kanata, ON, K2T 1B7
243	Victoriaville, QC	571, boul Jutras Est, Victoriaville, QC, G6P 7H4
96	Sherbrooke, QC	4100, boul. Josaphat-Rancourt, Sherbrooke, QC, J1L 3C6
196	Maniwaki, QC	250, boul. Desjardins, Maniwaki, QC, J9E 3G4
85	Prescott, ON	140 Prescott Centre Drive, Prescott, ON, K0E 1T0
348	Sherbrooke Fleurimont, QC	1645, rue King Est, Sherbrooke, QC, J1G 5G7
18	Carleton Place, ON	485 McNeely Avenue, at Hwy 7, Carleton Place, ON, K7C 4S6
14	Brockville, ON	2360 Parkedale Avenue, Brockville, ON, K6V 7J5
98	Smiths Falls, ON	10 Ferrara Drive, Smiths Falls, ON, K7A 5K4
4	Arnprior, ON	375 Daniel Street South, Arnprior, ON, K7S 3K6
99	Shawville, QC	431 148 Route, Shawville, QC, J0X 2Y0
423	Donnacona, QC	223 138 Route, Donnacona, QC, G3M 1C1
80	Perth, ON	45 Dufferin Street, Perth, ON, K7H 3A5
352	La Tuque, QC	1200, boul. Ducharme, La Tuque, QC, G9X 3Z9
86	Renfrew, ON	1050 O'Brien Road, Renfrew, ON, K7V 0B4
156	Thetford Mines, QC	70, boul. Frontenac Est, Thetford Mines, QC, G6G 1N4
692	Ancienne Lorette, QC	1233, autoroute Duplessis, L'Ancienne-Lorette, QC, G2G 2B4
37	Gananoque, ON	705 King Street East, Gananoque, ON, K7G 1H4
624	St. Romuald, QC	600, rue de la Concorde, St. Romuald, QC, G6W 8A8
342	Quebec Les Saules, QC	4500, rue Armand-Viau, Quebec, QC, G2C 2B9
245	Quebec Ste. Foy, QC	1170, route de l'Eglise, Quebec, QC, G1V 3W7
79	Pembroke, ON	1104 Pembroke Street East, Pembroke, ON, K8A 8S2
405	Lebourgneuf, QC	5500, boul. des Gradins, Quebec, QC, G2J 1A1
101	Quebec Vanier, QC	630, boul. Wilfrid-Hamel, Quebec, QC, G1M 3P9
416	Ste. Marie De Beauce, QC	980, boul. Vachon Nord, Sainte-Marie, QC, G6E 1M2
225	Lac Megantic, QC	3642, rue Laval, Lac-Megantic, QC, G6B 1A4
165	Levis, QC	100 Route du President-Kennedy, Levis, QC, G6V 6C9
184	Beauport, QC	705, rue Clemenceau, Quebec, QC, G1C 7T9
173	St. Georges, QC	500, 107e Rue, Saint-Georges, QC, G5Y 8K1
694	Kingston Division St., ON	1040 Division Street, Kingston, ON, K7K 0C3
195	Kingston, ON	59 Bath Road, Kingston, ON, K7L 5G3
417	Kingston Township, ON	2560 Princess Street, Kingston, ON, K7P 2S8
253	Deep River, ON	33277 Hwy 17 West, Deep River, ON, K0J 1P0
65	Napanee, ON	476 Centre Street North, Napanee, ON, K7R 1P8
180	Montmagny, QC	488, avenue Saint-David, Montmagny, QC, G5V 4P9
5	Bancroft, ON	341 Hastings Street North, Bancroft, ON, K0L 1C0
82	Picton, ON	13321 Loyalist Parkway, Picton, ON, K0K 2T0
7	Belleville, ON	101 Bell Blvd., Belleville, ON, K8P 4V2
458	Roberval, QC	1056, boul. Olivier-Vien, Roberval, QC, G8H 3G3
112	Trenton, ON	285 Dundas Street East, Trenton, ON, K8V 1M1
17	Campbellford, ON	130 Grand Road, Campbellford, ON, K0L 1L0
633	La Pocatiere, QC	175 230 Route Ouest, La Pocatiere, QC, G0R 1Z0
298	Alma, QC	50, boul. St. Luc, Alma, QC, G8B 6K1
306	La Malbaie, QC	375, boul. de Comporte, La Malbaie, QC, G5A 1H9
221	Jonquiere, QC	2290, boul. Rene-Levesque, Jonquiere, QC, G7S 5Y5
268	Chicoutimi, QC	1257, boul. Talbot, Chicoutimi, QC, G7H 4C1
335	La Baie, QC	2300, rue Bagot, La Baie, QC, G7B 3Z3
284	Dolbeau-Mistassini, QC	1751, boul. Vezina, Dolbeau-Mistassini, QC, G8L 3S4
660	Peterborough North, ON	1050 Chemong Road, Peterborough, ON, K9H 7S2
81	Peterborough, ON	1200 Lansdowne Street West, Peterborough, ON, K9J 2A1
682	Minden, ON	92 Water Street, Minden, ON, K0M 2K0
23	Cobourg, ON	1125 Elgin Street West, Cobourg, ON, K9A 5T9
114	Val d'Or, QC	1806, 3rd Avenue, Val-d'Or, QC, J9P 7A9
38	Fenelon Falls, ON	160 Lindsay Street, PO Box 208, Fenelon Falls, ON, K0M 1N0
56	Lindsay, ON	377 Kent Street West, Lindsay, ON, K9V 2Z7
323	Riviere du Loup, QC	237, boul. de l'Hotel de Ville, Riviere-du-Loup, QC, G5R 4E5
47	Huntsville, ON	77 King William Street, Huntsville, ON, P1H 1E5
206	Bracebridge, ON	450 Muskoka Road, Bracebridge, ON, P1L 1V4
170	Bowmanville, ON	2000 Green Road, Bowmanville, ON, L1C 0K5
72	North Bay, ON	890 McKeown Avenue, North Bay, ON, P1B 8M1
62	Gravenhurst, ON	431 Talisman Drive, Gravenhurst, ON, P1P 0A7
226	Port Perry, ON	14325 Simcoe Street, Port Perry, ON, L9L 2C8
336	Oshawa North, ON	1333 Wilson Road North, Oshawa, ON, L1K 2B8
75	Oshawa Mid, ON	441 Gibb Street, Oshawa, ON, L1J 1Z4
285	Amos, QC	281 Route 111 Est, Amos, QC, J9T 3A2
460	Whitby North, ON	4100 Garden Street at Taunton Road, Whitby, ON, L1R 3K5
187	Whitby South, ON	155 Consumers Drive, Whitby, ON, L1N 1C4
74	Orillia, ON	1029 Brodie Drive, Orillia, ON, L3V 0V2
127	Uxbridge, ON	327 Toronto Street South, Uxbridge, ON, L9P 1Z7
